Id,Prediction
0,4539832.043522747
1,4255790.262774815
2,4780228.263143926
3,4091535.3262980157
4,4726269.616797298
5,4589849.468408919
6,4373212.344503724
7,4659495.754860829
8,4537218.689661035
9,4496371.969128081
10,4355860.356085671
11,4725758.9325303305
12,5199718.000155942
13,5079659.57843036
14,4415926.057209583
15,4676916.969391147
16,5139123.977079108
17,4093185.890541633
18,5091476.809551821
19,4502782.204859082
20,4309913.074432794
21,4867771.875999827
22,4409650.67541398
23,4925699.43717628
24,4950442.116350485
25,4081175.432634845
26,3833938.0437661055
27,4625695.088303425
28,4472943.833094239
29,4655495.7595888665
30,5074419.698078529
31,4178452.787769526
32,4480201.950009174
33,4392981.9259760035
34,4070886.6418778743
35,4558227.104455319
36,4375830.796687776
37,4371875.361621114
38,3760957.506263875
39,4696326.26825782
40,4438455.87547587
41,4389700.709737861
42,4445497.087080446
43,5136209.964431135
44,4670251.874966264
45,4120897.8469245215
46,3990725.9526539315
47,3900241.6443964667
48,4612331.526515073
49,4548744.40118379
50,4780003.58397803
51,4607725.125986385
52,4303618.111570428
53,3746211.892708421
54,3857235.613800673
55,4294818.899149864
56,4666799.509303204
57,4611696.284591745
58,4680472.325438049
59,4723354.358458442
60,3856774.678268494
61,4147513.5072714207
62,4142972.0193152837
63,4150984.1798091843
64,4317816.078197288
65,5402411.888156711
66,4806498.932662319
67,5408691.778512711
68,4703459.262237521
69,4344000.741822204
70,4292368.043486833
71,4346179.824564221
72,4249770.937418157
73,4188678.4107959475
74,5253187.113537323
75,4376102.501913242
76,4310780.9630489405
77,4172565.8414794332
78,4649571.502360605
79,4533013.751809992
80,5062559.386573734
81,5057645.092596527
82,4306309.796959686
83,4837532.43754101
84,5552804.694030882
85,3569893.4950893293
86,4815233.466931167
87,4700654.637251592
88,4329899.388615743
89,4732417.919152027
90,4889477.696841494
91,4919590.725090335
92,3829060.0752024036
93,5123433.864309486
94,4694731.978558143
95,4536769.294979251
96,4315460.241149938
97,4282371.23333081
98,3940523.5944178514
99,4523246.726099554
100,4561455.715147273
101,3554859.7541563874
102,4313673.945508675
103,4138757.3314548954
104,4247328.745441517
105,3896355.4645383176
106,4702940.079905393
107,4677076.380763475
108,4807942.466828308
109,4554747.125261216
110,4855557.610872505
111,4866953.32136926
112,5158982.004282596
113,4582241.512232883
114,4274304.701732644
115,4820064.298730994
116,3938623.9206401603
117,4629759.042569644
118,3969323.075373211
119,4547509.074765617
120,4942004.691878963
121,4819030.7348104045
122,4562217.639202845
123,5527914.57235336
124,4218970.006477098
125,4357785.157244334
126,4791823.802187778
127,4223311.822494882
128,4534065.968715223
129,4088146.7828335594
130,3764791.5719791637
131,4652248.542289604
132,5039946.672393136
133,4100922.780665949
134,4298850.065487163
135,4246367.326350763
136,4400389.60047469
137,4249069.508090609
138,4642231.740907529
139,4394504.514715397
140,5386410.287454976
141,3951726.8932973756
142,4438140.9455258045
143,4290037.864002004
144,4664570.16774382
145,4319535.686554658
146,4561523.326628784
147,3969141.680641505
148,4726071.298696056
149,4804805.001052012
150,4317170.610169022
151,4311974.356560424
152,4607573.33189117
153,5216017.524767603
154,3941593.642780541
155,5114631.053715841
156,4845549.563501031
157,4809995.328395596
158,4602823.748159493
159,4357654.181800273
160,4210316.835207342
161,4073451.367135947
162,4186498.788267854
163,5391910.463213831
164,5455120.841950702
165,4547287.635993323
166,4856425.970026954
167,4671827.860529511
168,4740721.635303334
169,4755778.676722093
170,4490760.228656134
171,4193073.878887931
172,4636173.24738222
173,4881881.125603674
174,4921140.548047426
175,4506932.501759991
176,5375363.0086925905
177,4977800.417266605
178,4407712.814203624
179,4412430.9219678845
180,4484272.673057302
181,4531895.606899455
182,4985852.023532998
183,4422929.758183476
184,4577949.105637066
185,4105506.524769211
186,3953480.6705835997
187,5360270.258778486
188,5505617.583315753
189,4574940.556854226
190,4540375.406444963
191,5051785.374931326
192,4852826.389499188
193,4821679.565319944
194,4440380.9742041975
195,5074669.783495241
196,4583066.807954661
